,Name,Address,Contact,Max Discount,Link
87,Luxury Unisex Family Salon,"3/2, 3rd Street, Anna Nedumpathai, Kamaraj Nagar, Choolaimedu, Chennai","+91 7395926668, +91 9940241625",63,https://www.nearbuy.com/chennai/studio-young-salon-choolaimedu?merchantId=177949&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
88,Studie'o7,"1st Floor, Malles Aashira, Nookampalayam Road, Perumbakkam, Chennai",+91 7358200873,38,https://www.nearbuy.com/chennai/studieo7-perumbakkam?merchantId=354316&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
89,B2 Salon & Spa,"No. 3, El Heights Building, CMM Street, Kodambakkam High Road, Valluvar Kottam, Nungambakkam, Chennai","+91 9790412293, +91 9962364359",56,https://www.nearbuy.com/chennai/b2-salon-and-spa-nungambakkam?merchantId=253170&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
90,Le Bliss Spa,"New No. 114, 1st Floor, Plot No. 956, 13th Main Road, Anandha Bhavanam, Block H Thangam Colony, Anna Nagar, Chennai",+91 7305278999,50,https://www.nearbuy.com/chennai/le-bliss-spa-anna-nagar-anna-nagar?merchantId=345628&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
91,Studio Eight Makeup & Beauty,"Medavakkam Main Road, No. 74-A, Near Saibaba Temple, Medavakkam MainRoad, Bharat Nagar, Madipakkam, Chennai",+91 9566242702,25,https://www.nearbuy.com/chennai/studio-eight-makeup-and-beauty-madipakkam?merchantId=240416&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
92,Toni&Guy,"No. 4/192, Old No. 4/222, 1st Floor, Opp. Poorvika Showroom, East Coast Road, All India Radio Colony, Palavakkam, Chennai","+91 44 43855055, +91 44 42801010",39,https://www.nearbuy.com/chennai/toniandguy-palavakkam?merchantId=239706&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
93,Bonth Newme Hair Salon,"No. 252, Opp. Deccan Furniture, Velachery - Tambaram Main Road, Lakshmi Puram, Jagannathapuram, Chennai","+91 8072306541, +91 7397324159",50,https://www.nearbuy.com/chennai/bonth-newme-hair-salon-velacheri?merchantId=340491&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
94,Essensuals,"No. 147E, 2nd Avenue, Near Bus Depot, Besant Nagar, Chennai","+91 44 43579052, +91 44 43589052",43,https://www.nearbuy.com/chennai/essensuals-besant-nagar?merchantId=33110&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
95,Kosa Unisex Salon And Spa,"128, 2nd Floor, CM Tower, Velachery Main Road, Little Mount, Saidapet, Chennai",+91 9840553465,49,https://www.nearbuy.com/chennai/kosa-unisex-salon-and-spa-saidapet-1?merchantId=345346&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
96,Essensuals,"Manickeswari Road, Old No. 21, New No. 4, Near Bains School, Manikeswari Road, Kilpauk, Chennai","+91 44 43883131, +91 44 43887171",43,https://www.nearbuy.com/chennai/essensuals-kilpauk?merchantId=34423&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
97,VLCC,"No. 79 , C.P Ramaswamy Road, Alwarpet, Chennai",+91 44 24671918,17,https://www.nearbuy.com/chennai/vlcc-alwarpet?merchantId=113087&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
98,Toni & Guy By Essensuals,"Old No. 24, New No. 34, Near S.S.R Pankajam Theatre, Kaveri Rangan Nagar, Arunachalam Road, Saligramam, Chennai",+91 044 43156000,58,https://www.nearbuy.com/chennai/toni-and-guy-by-essensuals-vadapalani?merchantId=351575&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
99,Toni&Guy,"No. 67, Chamiers Road, Pasumpon Muthuramalinga Thevar Road, Ganapathi Colony, Teynampet, Chennai","+91 44 45000028, +91 44 45000029",39,https://www.nearbuy.com/chennai/toni-and-guy-nandanam?merchantId=35240&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
100,naturals,"No. 29, Pondy Bazaar, Above Federal Bank, Dr. Nair Road, Venkatraman Street, T Nagar, Chennai","+91 44 45544667, +91 9941730333, +91 44 28152700",71,https://www.nearbuy.com/chennai/naturals-t-nagar-1?merchantId=57487&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
101,Bali Foot Spa,"Shop No. 1&2, 1st Floor, Prince Plaza, Pantheon Road, Egmore, Chennai","+91 8190063647, +91 9940207092, +91 44 48675588",52,https://www.nearbuy.com/chennai/bali-foot-spa-egmore?merchantId=337054&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
102,Ode Spa,"183, 4th Floor, The Forum Vijaya Mall, N.S.K. Salai, Arcot Road, Vadapalani, Chennai",+91 9247020202,57,https://www.nearbuy.com/chennai/ode-spa-vadapalani?merchantId=355471&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
103,B2 Salon & Spa,"No. 3, El Heights Building, CMM Street, Kodambakkam High Road, Valluvar Kottam, Nungambakkam, Chennai","+91 9790412293, +91 9962364359",56,https://www.nearbuy.com/chennai/b2-salon-and-spa-nungambakkam?merchantId=253170&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
104,Toni&Guy,"No. 6B, Harleys Road, Kilpauk, Chennai","+91 44 26446176, +91 44 26446177, +91 8778376152",39,https://www.nearbuy.com/chennai/toniandguy-kilpauk?merchantId=237192&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
105,Kento Spa And Salon,"257, GK Aakash Complex, Near Balaji Dental College, Velachery Road, Narayanapuram, Pallikaranai, Chennai",+91 8438201839,50,https://www.nearbuy.com/chennai/kento-spa-and-salon-pallikaranai-1?merchantId=354784&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
106,Sahaa’s Wildrose Salon and Spa,"56B, Gnanamani Street, Sathya Murthy Block, Jaffarkhanpet, Chennai",+91 9094244633,75,https://www.nearbuy.com/chennai/wildrose-for-ladies-and-kids-jaffarkhanpet?merchantId=345125&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
107,Fab Unisex Salon,"1st Floor, Vantage Plaza, Lattice Bridge Road, Padmanabha Nagar, Thiruvanmiyur, Chennai",+91 8124684626,43,https://www.nearbuy.com/chennai/fab-unisex-salon-thiruvanmiyur-0?merchantId=331930&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
108,Fame Beauty Parlour Ladies & Kids,"No.1, Lakshmipuram, Villivakam Road, Bharathiya Nagar, Kolathur, Chennai","+91 9655520414, +91 9840239270",64,https://www.nearbuy.com/chennai/fame-beauty-parlour-ladies-and-kids-kolathur-0?merchantId=347234&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
109,VLCC,"New No. 12, Old No. 89, Plot No. 3792, 4th Main Road, Block Q, Anna Nagar, Chennai","+91 44 43016661, +91 44 43016662",17,https://www.nearbuy.com/chennai/vlcc-anna-nagar?merchantId=113085&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
110,Samudhram Beauty and Wellness,"Old No. 30, New No.18, 2nd Floor, Bhattad Towers, Westcott Road, Indira Garden, Royapettah, Chennai",+91 8056100510,50,https://www.nearbuy.com/chennai/samudhram-beauty-and-wellness-alwarpet?merchantId=353579&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
111,Green Day Spa,"Venkatachalam Street, No. 108/228, Opp. Yellow Page Office, Venkatachallam Street, Dr. Radha Krishnan Salai, Mylapore, Chennai",+91 9962814814,79,https://www.nearbuy.com/chennai/green-day-spa-mylapore?merchantId=59147&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
112,Eden Day Spa,"B5, 3rd Floor, 2nd Avenue, Sam Noah Tower, Block B, Anna Nagar East, Chennai",+91 9176308218,33,https://www.nearbuy.com/chennai/eden-day-spa-anna-nagar-east?merchantId=342596&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
113,Asian Therapy Unisex Salon & Spa,"Jones Lane, No. 97/10, Ground Floor, YAS Complex, Near Saidapet Railway Station, East Jones Road, Suruiyammapet, Chennai",+91 44 48571114,33,https://www.nearbuy.com/chennai/asian-therapy-unisex-salon-and-spa-saidapet?merchantId=235218&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
114,Haven Unisex Spa,"10, Padi Kuppam Road, Thirumagalam, Gandhi Nagar, Anna Nagar West Extension, Chennai","+91 044 42129221, +91 8098976733, +91 7868984683, +91 7868984680",20,https://www.nearbuy.com/chennai/haven-unisex-spa-anna-nagar-west-extension?merchantId=348284&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
115,Monage,"68, Paper Mills Road, Bunder Garden, Perambur, Chennai",+91 9841327241,57,https://www.nearbuy.com/chennai/monage-perambur?merchantId=348599&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
116,Toni & Guy Essensuals,"4/9, Ground Floor, 4th Main Road, United India Colony, United India Insurance Colony, Kodambakkam, Chennai",+91 7548808467,55,https://www.nearbuy.com/chennai/toni-and-guy-essensuals-kodambakkam?merchantId=351410&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
117,naturals,"Mount Poonamalle Road, No. 156, Mount Poonamallee High Road, Lakshmi Nagar, Porur, Chennai","+91 9176711211, +91 9176711311, +91 9176084748",43,https://www.nearbuy.com/chennai/naturals-porur-2?merchantId=329850&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
118,Jawed Habib Hair & Beauty,"Plot No. 29, 5th St, Tansi Nagar, Chennai","+91 9841274546, +91 44 43016226",25,https://www.nearbuy.com/chennai/jawed-habib-hair-and-beauty-velacheri?merchantId=32308&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
119,The Ocean Bali Day Spa - Blu Iris,"Govindan Street, Blu Iris Hotel, No. 37, Govindhan Street, Aminijikarai, Chennai","+91 44 43150015, +91 9940488015",50,https://www.nearbuy.com/chennai/the-ocean-bali-day-spa-aminijikarai?merchantId=73408&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
120,Talon Makeover Studio,"87A, 2nd Main Road, Nolambur Phase III, Mogappair West, Chennai","+91 8838207800, +91 9655554656",67,https://www.nearbuy.com/chennai/talon-makeover-studio-mogappair-west?merchantId=352271&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
121,Ashlee Spa,"Old Mahabalipuram Road (OMR), No. 1, 3rd Floor, Above Home Lane, Opp. AKDR Golf, Raju Nagar, Old Mahabalipuram Road, Karappakkam, Chennai","+91 8925288864, +91 044 43219667",22,https://www.nearbuy.com/chennai/ashlee-spa-sanatorium-0?merchantId=349218&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
122,VLCC,"Tharamani Link Road, No. 9 & 26, Taramani Link Road, Chennai","+91 9500235570, +91 44 45114015",17,https://www.nearbuy.com/chennai/vlcc-velacheri?merchantId=113088&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
123,You And Me Family Salon & Spa,"No. 5, 3rd Main Road, Dhandeeshwaram Nagar, Chennai",+91 9445543800,60,https://www.nearbuy.com/chennai/you-and-me-family-saloon-velacheriy?merchantId=352585&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
124,L3 Unisex Salon,"No. 64, 141, Venkatachalam Street, Royapettah, Chennai",+91 9840557374,50,https://www.nearbuy.com/chennai/l3-unisex-salon-royapettah?merchantId=353631&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
125,Le Stylist Family Salon and Bridal Studio,"No. 199, Opp. Govt Hospital, Above Indian Bank, N M Road, Avadi, Kamaraja Nagar, Chennai",+91 8939501637,57,https://www.nearbuy.com/chennai/le-stylist-family-salon-and-bridal-studio-kamaraja-nagar?merchantId=350452&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
126,Enhance Studio Men's Salon,"No. 2, New No. 5/6, Neema Building, Thirumalai Pillai Road, T Nagar, Chennai","+91 7305010436, +91 44 45485176",36,https://www.nearbuy.com/chennai/enhance-studio-mens-salon-t-nagar?merchantId=354002&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
127,S3 Unisex Saloon & Spa," No. 244, Polaris House, Pathari Road, Anna Salai, Thousand Lights, Chennai",+91 6379488007,67,https://www.nearbuy.com/chennai/sowmya-thousand-lights?merchantId=354730&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
129,Suave Salon & Wellness,"2/796, 1st, Floor, Sakshi Towers, 1st Main Road, Chinna Neelankarai, ECR, Kazura Garden, Chennai","+91 6380527719, +91 7200459485, +91 44 35001437",73,https://www.nearbuy.com/chennai/suave-salon-and-wellness-neelankarai?merchantId=352070&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
130,Slash The Style Paradise,"No.25/18, 1st Floor, Above Maybell Showroom, 11th Avenue Road, Ashok Nagar, Chennai","+91 6374219487, +91 44 24740970, +91 44 24719558",67,https://www.nearbuy.com/chennai/naturals-ashok-nagar?merchantId=334224&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
131,Le Stylist Family Salon and Bridal Studio,"No. 50/4, CTH Road, Near SS Hyderabad Biryani Shop, Thirumullaivoyal, Pachaiamman Nagar, Sathyamurthi Nagar, Chennai",+91 8939501637,57,https://www.nearbuy.com/chennai/le-stylist-family-salon-and-bridal-studio-chennai?merchantId=350699&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
132,PK Hair Mak Salon Studio,"No. 4/270, 1st Floor, Pari Salai, 4th Block, Mogappair East, Chennai",+91 8939568000,49,https://www.nearbuy.com/chennai/pk-hair-mak-salon-studio-mogappair-east?merchantId=346059&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
133,Meraki Unisex Salon & Spa,"No. 42, Giriyappa Road, Drivers Colony, T Nagar, Chennai",+91 7200682822,57,https://www.nearbuy.com/chennai/meraki-unisex-salon-and-spa-t-nagar?merchantId=352056&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
134,The Look Salon,"132, TT Krishnamachari Road, Austin Nagar, Alwarpet, Chennai",+91 044 24994101,21,https://www.nearbuy.com/chennai/the-look-salon-alwarpet?merchantId=349864&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
135,Ayurjeevanam,"No. 1080/A, Rohini Flats, Munusamy Salai, KK Nagar West, Chennai","+91 9514628905, +91 8939735421",50,https://www.nearbuy.com/chennai/ayurjeevanam-kk-nagar-west?merchantId=208351&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
136,Asian Continental Spa,"No. 5, 200 Feet Radial Road, Opp. to Radiance Mandarin, Seevaram, Thuraipakkam, Chennai",+91 7824849555,40,https://www.nearbuy.com/chennai/asian-continental-unisex-saloon-and-spa-thuraipakkam?merchantId=84869&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
137,Samatva Wellness,"No. 16, College Road, Nungabakkam, Chennai",+91 9952997559,22,https://www.nearbuy.com/chennai/samatva-wellness-chennai?merchantId=350295&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
138,Bombshell Studio Unisex Salon,"No. 23, 2nd Floor, S S Complex, Audiappa Street, Purasawalkam, Chennai",+91 7358056814,42,https://www.nearbuy.com/chennai/bombshell-studio-unisex-salon-purasawalkam?merchantId=345824&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
139,Dr.Health Nature Cure,"Door No. AP 708, 1st Street, 12 Main Road, Block H, Anna Nagar, Chennai","+91 8098092929, +91 44 79666521, +91 7401272715",60,https://www.nearbuy.com/chennai/drhealth-nature-cure-anna-nagar?merchantId=341461&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
140,Euphoria Beauty Parlour,"18, 4th Cross Street, United India Colony, Kodambakkam, Chennai",+91 9790829835,60,https://www.nearbuy.com/chennai/euphoria-beauty-parlour-kodambakkam?merchantId=353341&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
141,Absolute Beauty Salon,"Mount Poonamalle Road, No. G1, Dual Garden Apartment, Mount Poonamallee Road, Porur, Chennai",+91 8825592927,44,https://www.nearbuy.com/chennai/absolute-beauty-salon-porur?merchantId=330651&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
142,Ridhi Spa,"No. 24, 2nd Floor, Opp. Punjab National Bank, CLC Works Road, New Colony, Chromepet, Chennai","+91 7338756262, +91 044 42131335",14,https://www.nearbuy.com/chennai/ridhi-spa-chromepet?merchantId=331749&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
143,VLCC,"No. 323, Diamond Dune, Next Pachiappas College, Poonamallee High Road, Aminjikarai, Chetpet, Chennai","+91 44 26680828, +91 44 42698771, +91 44 42698772",17,https://www.nearbuy.com/chennai/vlcc-chetpet?merchantId=113086&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
144,Lavion Unisex Style & Beauty Salon,"No. A-5, 2nd Main Road, Thiruvalluvar Nagar, Thiruvanmiyur, Chennai","+91 9884065856, +91 44 47438866",50,https://www.nearbuy.com/chennai/style-nation-unisex-beauty-salon-thiruvanmiyur?merchantId=110408&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
145,Kosa Unisex Salon And Spa,"128, 2nd Floor, CM Tower, Velachery Main Road, Little Mount, Saidapet, Chennai",+91 9840553465,49,https://www.nearbuy.com/chennai/kosa-unisex-salon-and-spa-saidapet-1?merchantId=345346&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
146,Aster Unisex Spa,"No. 48, Near Way Restaurant, 1st Main Road, Thirumalai Nagar Annexe, Perungudi, Chennai","+91 9940626541, +91 9940262857",38,https://www.nearbuy.com/chennai/aster-unisex-salon-and-spa-perungudi?merchantId=207977&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
147,Adyar Star Aayush,"No 81, Near Kauvery Hospital, Luz Church Road, Alwarpet, Chennai","+91 8939752227, +91 7200112349",40,https://www.nearbuy.com/chennai/adyar-star-aayush-alwarpet?merchantId=354332&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
148,Aayu Spa - Turyaa Hotel,"Old Mahabalipuram Road (OMR), Turyaa Chennai, 144/7, Old Mahabalipuram Road, Rajiv Gandhi Salai, Kottivakkam, Chennai",+91 44 66970000,58,https://www.nearbuy.com/chennai/ananta-organic-spa-turyaa-chennai-kottivakkam?merchantId=115690&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
149,Bi3 Wellness Spa,"No. 76, Near Jayanthi Residency, Lattice Bridge Road, Kamaraj Nagar, Thiruvanmiyur, Chennai",+91 7845741450,44,https://www.nearbuy.com/chennai/bi3-wellness-spa-thiruvanmiyur?merchantId=352594&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
150,Cloud 9 Beauty Men's Saloon,"No. 177, Near Aishwarya Mahal, Velachery Main Road, Pallikaranai Oil Mill, Chennai","+91 8754501933, +91 9337968632",74,https://www.nearbuy.com/chennai/cloud-9-unisex-salon-and-spa-adyar?merchantId=240270&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
151,Foot Care,"No. 28, Natesh Apartments, 100 Feet Road, Venkateshwara Nagar, Chennai",+91 8754556596,15,https://www.nearbuy.com/chennai/foot-care-velacheri-0?merchantId=351487&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
152,The Tent Salon,"No. 64, 38, Tiger Varadachari Road, Kalakshetra Colony, Besant Nagar, Chennai",+91 8799955555,64,https://www.nearbuy.com/chennai/the-tent-salon-besant-nagar-0?merchantId=355531&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
153,Respa By Iyasya Spa - The Residency Towers,"The Residency Towers, 115, Sir Theagaraya Road, Parthasarathi Puram, T Nagar, Chennai",+91 44 28156363,75,https://www.nearbuy.com/chennai/respa-by-iyasa-spa-the-residency-towers-t-nagar?merchantId=341783&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
154,Orchid Bali Spa - Hotel Green Park,"Hotel Green Park, No. 183, 1st Floor, NSK Salai, Arcot Road, Vadapalani, Chennai","+91 44 66515151, +91 9500087221, +91 9500178221",63,https://www.nearbuy.com/chennai/orchid-bali-spa-hotel-green-park-vadapalani?merchantId=32365&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
155,Green Day Spa - Hotel Abu Sarovar Portico,"Poonamallee High Road, Hotel Abu Sarovar Portico, No. 926, Poonamalee High Road, Purasawalkam, Chennai",+91 9840830361,47,https://www.nearbuy.com/chennai/green-day-spa-purasawalkam?merchantId=33922&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
156,Foot Land - Oriental Foot Reflexology,"156/326, Ground Floor, Konnur High Road, Gnanambal Garden, Ayanavaram, Chennai","+91 7845907115, +91 7845917115",57,https://www.nearbuy.com/chennai/foot-land-:-oriental-foot-reflexology-ayanavaram?merchantId=354531&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
157,Haven Unisex Spa,"55/21 Corporation Colony, Arcot Road, Viswanathapuram, Kodambakkam, Chennai",+91 9884228831,20,https://www.nearbuy.com/chennai/haven-unisex-spa-kodambakkam?merchantId=348285&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
158,Green Trends,"Mahatma Gandhi Road, No. 58, 1st Floor, Av Church Road, MG Road, Lakshmipuram, Besant Nagar, Chennai","+91 044 43554242, +91 9677121244",24,https://www.nearbuy.com/chennai/green-trends-besant-nagar-0?merchantId=331924&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
159,Toni&Guy,"Plot No. 106, Block No. 8, Kavimani Salai, Mogappair West, Chennai","+91 44 42644240, +91 44 42644241",39,https://www.nearbuy.com/chennai/toni-and-guy-mogappair-west?merchantId=320642&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
160,Eternum Spa - Ramada Chennai Egmore,"Ramada Chennai Egmore, Near CMDA Building, Gandhi Irwin Road, Chennai","+91 7540079974, +91 4446104777",44,https://www.nearbuy.com/chennai/eternum-spa-ramada-chennai-egmore-egmore?merchantId=32062&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
161,The Ocean Spa - BKR Grand Hotel,"BKR Grand Hotel, No. 71, 5th Floor, N Usman Road, T Nagar, Chennai","+91 44 45491004, +91 9790699898, +91 4445495003",46,https://www.nearbuy.com/chennai/the-ocean-bali-spa-bkr-grand-hotel-t-nagar?merchantId=33381&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
162,Ananta Spa,"Old Mahabalipuram Road (OMR), No. 4/400, Plot No. 172-173, Sekaran Towers, Above Axis Bank, Old Mahabalipuram Road, Thuraipakkam, Chennai",+91 7418252010,39,https://www.nearbuy.com/chennai/ananta-day-spa-thuraipakkam?merchantId=85835&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
163,Star Wellness Center,"No. 22, 2nd Floor, Poonamallee High Road, Periyamet, Chennai",+91 9884912227,40,https://www.nearbuy.com/chennai/star-wellnass-center-periyamet?merchantId=354333&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
164,Lee'Amour Family Saloon,"New No. 2/2, Old No. 53, 2,Near Selva Kumar Store, W Mada Street, Jayalakshmipuram, Nungambakkam, Chennai",+91 9123570731,75,https://www.nearbuy.com/chennai/leeamour-family-saloon-nungambakkam?merchantId=353092&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
165,Studio Lounge,"No. 8/15, Mahalingapuram Main Road, Mahalinga Puram, Nungambakkam, Chennai",+91 044 28170064,56,https://www.nearbuy.com/chennai/studio-lounge-nungambakkam?merchantId=86147&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
166,Green Day Spa & Salon,"No. 52, Satyadev Avenue, Opp. Somerset, Next to Apollo Hospital, MRC Nagar, RA Puram, Chennai",+91 9600004812,79,https://www.nearbuy.com/chennai/green-unisex-salon-and-spa-ra-puram?merchantId=68818&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
167,Avocado Care,"No. 42, Drivers Colony, Behind GRT Hotels, Dr. Giriyappa Road, T Nagar, Chennai","+91 44 28152993, +91 9080558006",63,https://www.nearbuy.com/chennai/avo-curves-avocado-care-t-nagar?merchantId=251651&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
168,Envi Salon And Spa,"Unit No. 40, Lower Ground Floor, Phoenix Market City, Velachery Main Road, Nehru Nagar, Chennai","+91 44 61153153, +91 44 61153154",46,https://www.nearbuy.com/chennai/envi-salon-velacheri?merchantId=283535&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
169,The Pivot Thai Spa,"D’Monte Colony Street, No. 32, D'monte Colony Street, Alwarpet, Chennai","+91 44 24671753, +91 44 24671752, +91 9790967299",53,https://www.nearbuy.com/chennai/the-pivot-thai-spa-alwarpet?merchantId=32061&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
170,Studieo 7,"Plot No. 96A&B, SSD Oil Mill Road, VGN Nagar, Iyappanthangal, Chennai",+91 9791022008,51,https://www.nearbuy.com/chennai/studieo-7-iyappanthangal?merchantId=354339&amp;contextPayload=%7B%22collectionPermalink%22:%22all-salon-deals%22%7D#deals
171,Haven Unisex Spa ,"22, South West Boag Road, T Nagar, Chennai",+91 9952957613,20,https://www.nearbuy.com/chennai/haven-unisex-spa-t-nagar?merchantId=347834&amp;contextPayload=%7B%22collectionPermalink%22:%22all-spa-deals%22%7D#deals
